"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1283674","167512","1003","5.88","1","46","","","","",""
"1283675","167512","1007","3.5","1","46","","","","",""
"1283676","167512","1062","1286","0","49","","","","",""
"1283677","167512","1079","1.2","1","46","","","","",""
"1283678","167512","1089","2.12","1","46","","","","",""
"1283679","167512","1093","1059","1","46","","","","",""
"1283680","167512","1253","0","1","46","","","","",""
"1283681","167512","1257","4.412","1","46","","","","",""
"1283682","167512","1258","2.941","1","46","","","","",""
"1283683","167512","1004","13.24","1","46","","","","",""
"1283684","167512","1005","41.18","0","49","","","","",""
"1283685","167512","1008","307","0","49","","","","",""
"1283686","167512","1051","35.5","1","46","","","","",""
"1283687","167512","2000","5.88","1","46","","","","",""
"1283688","167513","1003","4.34","1","47","","","","",""
"1283689","167513","1007","3.08","1","47","","","","",""
"1283690","167513","1062","1381","0","47","","","","",""
"1283691","167513","1079","1.4","1","47","","","","",""
"1283692","167513","1089","1.93","1","47","","","","",""
"1283693","167513","1093","780","1","47","","","","",""
"1283694","167513","1104","1","1","47","","","","",""
"1283695","167513","1106","0","0","51","","","","",""
"1283696","167513","1162","0.1","1","47","","","","",""
"1283697","167513","1253","0","1","47","","","","",""
"1283698","167513","1257","4.29","1","47","","","","",""
"1283699","167513","1258","3.25","1","47","","","","",""
"1283700","167513","1004","11.27","1","47","","","","",""
"1283701","167513","1005","53.42","1","47","","","","",""
"1283702","167513","1008","330","1","47","","","","",""
"1283703","167513","1051","27.86","1","47","","","","",""
"1283704","167513","2000","21.34","1","47","","","","",""
"1283705","167513","1087","28","1","47","","","","",""
"1283706","167514","1062","1577","0","","","","","",""
"1283707","167514","1093","2182","0","44","","","","",""
"1283708","167514","1004","3.7","1","1","","","","",""
"1283709","167514","1005","79.8","0","49","","","","",""
"1283710","167514","1008","377","0","49","","","","",""
"1283711","167514","1051","3.2","1","1","","","","",""
"1283712","167514","1003","6.1","1","1","","","","",""
"1283713","167514","1007","7.2","1","1","","","","",""
"1283714","167515","1105","0","0","68","","","","",""
